word,count
the,16
of,7
in,7
and,6
rainbow,5
is,5
by,5
arc,5
caused,4
light,4
on,4
water,3
droplets,3
rainbows,3
an,2
both,2
sky,2
it,2
sun,2
observer,2
primary,2
red,2
this,2
refracted,2
when,2
droplet,2
inside,2
second,2
optical,1
meteorological,1
phenomenon,1
that,1
reflection,1
refraction,1
resulting,1
spectrum,1
appearing,1
takes,1
form,1
multicoloured,1
sunlight,1
always,1
appear,1
section,1
directly,1
opposite,1
can,1
be,1
full,1
circles,1
however,1
average,1
sees,1
only,1
formed,1
illuminated,1
above,1
ground,1
centred,1
line,1
from,1
to,1
eye,1
shows,1
outer,1
part,1
violet,1
inner,1
side,1
being,1
bent,1
entering,1
then,1
reflected,1
back,1
again,1
leaving,1
double,1
seen,1
outside,1
has,1
order,1
its,1
colours,1
reversed,1
facing,1
toward,1
other,1
one,1
reflecting,1
twice,1
